Date;Hour;Forex;Event;Actuel;Forecast;Previous
04/01/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;48.6;47.5;48.3
05/01/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;48.6;48;48.6
05/01/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;380;363;342
07/01/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;50.2;48.6;49.6
08/01/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-51;-75;-62
08/01/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;50;49.4;50.2
08/01/2008;14:30:00;USD;Taux de chomage;0.057;0.056;0.055
10/01/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;43.5;49.5;49.9
12/01/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;36.2;37.2;38.9
24/01/2008;11:00:00;EUR;IFO climat des affaires Allemagne;103.4;102.3;103
05/02/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-20;-80;-80
06/02/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;49.6;48.6;48.6
09/02/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;49.9;49.9;50
10/02/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.0425;0.0425;0.0425
10/02/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;497;475;493
13/02/2008;15:30:00;USD;Ventes au détail mensuelle;0;-0.002;-0.004
14/02/2008;04:00:00;EUR;PIB Trimestriel All;0.003;0.003;0.007
20/02/2008;15:30:00;USD;IPC core mensuel;0.003;0.002;0.002
20/02/2008;15:30:00;USD;Permis de construire;1.05;1.05;1.07
21/02/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;349;345;339
25/02/2008;17:00:00;USD;Ventes de logements existants;4.89;4.8;4.89
26/02/2008;17:00:00;USD;Confiance des consommateurs;75;82;87.9
26/02/2008;11:00:00;EUR;IFO climat des affaires Allemagne;100;100;100
26/02/2008;09:00:00;EUR;PIB Trimestriel All;0.003;0.003;0.003
26/02/2008;15:30:00;USD;Prix à la production mensuel;0.01;0.004;-0.003
27/02/2008;15:30:00;USD;Commandes de biens durables;-0.016;-0.014;0.023
27/02/2008;17:00:00;USD;Ventes de logements neufs;588;600;605
28/02/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;373;350;342
28/02/2008;15:30:00;USD;PIB Trimestriel;0.006;0.007;0.006
03/03/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;48.3;48;50.7
03/03/2008;10:55:00;EUR;PMI manufacturier Allemagne;54.3;54;54.4
04/03/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;49.6;48.5;49.3
04/03/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;407;366;366
07/03/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-62;-60;-49
07/03/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.0425;0.0425;0.04
07/03/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;48.2;51.1;51.7
07/03/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;404;384;384
10/03/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-159;-100;-84
10/03/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;50.2;50;50.6
10/03/2008;14:30:00;USD;Taux de chomage;0.061;0.061;0.061
11/03/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;38.9;41.6;43.5
12/03/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;37.3;42.5;44.4
13/03/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;353;355;351
13/03/2008;14:30:00;USD;Ventes au détail mensuelle;-0.006;0.002;0.003
14/03/2008;14:30:00;USD;IPC core mensuel;0;0.002;0.003
18/03/2008;20:15:00;USD;Decision de la FED sur les taux directeur;0.0225;0.025;0.03
18/03/2008;14:30:00;USD;Permis de construire;0.98;1.05;1.06
18/03/2008;14:30:00;USD;Prix à la production mensuel;0.003;0.003;0.01
20/03/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;378;360;353
20/03/2008;10:30:00;EUR;PMI manufacturier Allemagne;54.9;54;54.3
24/03/2008;16:00:00;USD;Ventes de logements existants;5.03;4.85;4.89
25/03/2008;16:00:00;USD;Confiance des consommateurs;64.5;73.5;75
26/03/2008;14:30:00;USD;Commandes de biens durables;-0.026;-0.003;-0.016
26/03/2008;11:00:00;EUR;IFO climat des affaires Allemagne;104.8;103.5;104.1
26/03/2008;16:00:00;USD;Ventes de logements neufs;590;578;588
27/03/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;366;370;378
27/03/2008;14:30:00;USD;PIB Trimestriel US;0.006;0.006;0.006
04/04/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-80;-50;-63
06/04/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;51.7;51;52
09/04/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.0425;0.0425;0.0425
09/04/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;50.6;49.4;49.5
09/04/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;444;422;425
12/04/2008;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.025;0.0275;0.0325
12/04/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;509;540;529
14/04/2008;14:30:00;USD;Ventes au détail mensuelle;0.002;0;-0.006
15/04/2008;14:30:00;USD;Prix à la production mensuel;0.011;0.006;0.003
16/04/2008;14:30:00;USD;IPC core mensuel;0.002;0.002;0
16/04/2008;14:30:00;USD;Permis de construire;0.93;0.97;0.98
17/04/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;372;375;357
22/04/2008;16:00:00;USD;Ventes de logements existants;4.93;4.9;5.03
23/04/2008;09:30:00;EUR;PMI manufacturier Allemagne;53.6;54.7;55.1
24/04/2008;14:30:00;USD;Commandes de biens durables;0.015;0.002;-0.024
24/04/2008;10:00:00;EUR;IFO climat des affaires Allemagne;102.4;104.3;104.8
24/04/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;342;375;372
24/04/2008;16:00:00;USD;Ventes de logements neufs;526;580;590
29/04/2008;16:00:00;USD;Confiance des consommateurs;62.3;61.5;64.5
30/04/2008;20:15:00;USD;Decision de la FED sur les taux directeur;0.02;0.02;0.0225
30/04/2008;14:30:00;USD;PIB Trimestriel;0.006;0.002;0.006
03/05/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;49.3;47.6;44.6
05/05/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;52;49.1;49.6
06/05/2008;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.04;0.04;0.04
06/05/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;357;374;372
08/05/2008;16:00:00;USD;Indice PMI manufacturier de l'ISM;49.5;48;48.2
09/05/2008;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-84;-73;-51
09/05/2008;14:30:00;USD;Taux de chomage;0.061;0.057;0.057
11/05/2008;17:00:00;USD;Indice PMI manufacturier de l'ISM;44.4;47.3;50.2
12/05/2008;15:30:00;USD;Creation d'emplois dans le secteur non agricole;-533;-320;-240
12/05/2008;15:30:00;USD;Taux de chomage;0.067;0.068;0.065
13/05/2008;15:30:00;USD;Ventes au détail mensuelle;-0.002;-0.002;0.002
14/05/2008;15:30:00;USD;IPC core mensuel;0.001;0.002;0.002
15/05/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;371;370;365
15/05/2008;09:00:00;EUR;PIB Trimestriel All;0.015;0.007;0.003
16/05/2008;15:30:00;USD;Permis de construire;0.98;0.92;0.93
20/05/2008;15:30:00;USD;Prix à la production mensuel;0.002;0.004;0.011
21/05/2008;11:00:00;EUR;IFO climat des affaires Allemagne;103.5;102.1;102.4
22/05/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;365;373;371
23/05/2008;10:30:00;EUR;PMI manufacturier Allemagne;53.5;53.3;53.6
23/05/2008;17:00:00;USD;Ventes de logements existants;4.89;4.86;4.93
27/05/2008;17:00:00;USD;Confiance des consommateurs;52.7;60;62.3
27/05/2008;17:00:00;USD;Ventes de logements neufs;526;522;562
28/05/2008;15:30:00;USD;Commandes de biens durables;0.025;-0.004;0.009
29/05/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;372;370;365
03/06/2008;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.04;0.04;0.04
03/06/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;351;363;373
03/06/2008;17:00:00;USD;Promesses de ventes de logements;0;-0.01;-0.015
06/06/2008;15:30:00;USD;Creation d'emplois dans le secteur non agricole;-49;-57;-20
11/06/2008;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.0325;0.0325;0.0375
11/06/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;481;480;479
13/06/2008;14:30:00;USD;IPC core mensuel;0.002;0.002;0.001
17/06/2008;14:30:00;USD;Permis de construire;0.97;0.96;0.98
17/06/2008;14:30:00;USD;Prix à la production mensuel;0.014;0.01;0.002
19/06/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;381;375;384
23/06/2008;10:00:00;EUR;IFO climat des affaires Allemagne;101.3;102.5;103.5
23/06/2008;09:30:00;EUR;PMI manufacturier Allemagne;52.3;53.2;53.6
24/06/2008;16:00:00;USD;Confiance des consommateurs;50.4;56.4;57.2
25/06/2008;14:30:00;USD;Commandes de biens durables;-0.009;-0.009;0.024
25/06/2008;20:15:00;USD;Decision de la FED sur les taux directeur;0.02;0.02;0.02
25/06/2008;16:00:00;USD;Ventes de logements neufs;512;515;526
26/06/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;384;375;381
26/06/2008;14:30:00;USD;PIB Trimestriel;0.027;0.01;0.009
26/06/2008;16:00:00;USD;Ventes de logements existants;4.99;4.96;4.89
03/07/2008;15:30:00;USD;Creation d'emplois dans le secteur non agricole;-63;25;-17
05/07/2008;16:00:00;USD;Promesses de ventes de logements;-0.01;-0.01;-0.019
08/07/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.0425;0.0425;0.0425
08/07/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;455;420;448
08/07/2008;16:00:00;USD;Promesses de ventes de logements;0.053;-0.01;-0.047
11/07/2008;15:30:00;USD;Creation d'emplois dans le secteur non agricole;-240;-200;-159
11/07/2008;17:00:00;USD;Promesses de ventes de logements;-0.046;-0.034;0.074
11/07/2008;15:30:00;USD;Taux de chomage;0.065;0.063;0.061
15/07/2008;14:30:00;USD;Prix à la production mensuel;0.018;0.013;0.014
15/07/2008;14:30:00;USD;Ventes au détail mensuelle;0.001;0.004;0.01
16/07/2008;14:30:00;USD;IPC core mensuel;0.003;0.002;0.002
17/07/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;366;380;346
17/07/2008;14:30:00;USD;Permis de construire;1.09;0.96;0.98
24/07/2008;10:00:00;EUR;IFO climat des affaires Allemagne;97.5;100.2;101.3
24/07/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;406;379;366
24/07/2008;09:30:00;EUR;PMI manufacturier Allemagne;50.9;52;52.6
24/07/2008;16:00:00;USD;Ventes de logements existants;4.86;4.93;4.99
